model,latency
claude-3-sonnet-20240229,1.4194860128225932
Mistral-7B-Instruct-v0.1,0.2828647550771767
claude-2.1,1.6836316221022485
codegemma-7b-it,0.30489740508652213
Llama-3-8b-Instruct,1.0531297961586155
Mixtral-8x7B-Instruct-v0.1,0.9392967660636321
Qwen1.5-1.8B-Chat,0.5502705450000093
vicuna-13b-v1.5,1.4753938719676467
mistral-large-2402,0.3967416598893956
gpt-4-1106-preview,0.7767265743542731
command-r,0.18832414914586093
gpt-4-0613,0.6484411465828785
Qwen1.5-32B-Chat,0.5092292557397896
CodeLlama-34b-Instruct-hf,3.8518873154259348
Yi-34B-Chat,1.28716762071354
command-r-plus,0.3104016019283752
WizardLM-70b-v1.0,3.9249772038834783
gpt-4-0125-preview,1.0418927523113641
Mixtral-8x22B-Instruct-v0.1,1.07593545635739
gpt-3.5-turbo-0125,0.6829601016193739
mistral-medium-2312,3.3167870515212154
sheep-duck-llama-2-70b-v1.1,5.5246079143468965
sheep-duck-llama-2-13b,2.9462099794520427
gemma-7b-it,0.6112263564356529
WizardLM-13b-v1.2,3.565436762576313
openchat-3.5-0106,0.2920951450556624
claude-3-opus-20240229,2.9558458279177846
Qwen1.5-14B-Chat,0.37289333481153564
SUS-Chat-34B,2.279514761069099
Llama-3-70b-Instruct,1.250021807813979
vicuna-33b-v1.3,0.8235025152162263
openchat-3.5-1210,0.2804982769102978
tulu-2-dpo-70b,7.848597339328539
llama-2-70b-chat-hf,4.724659620079609
Qwen1.5-7B-Chat,0.38989076908838866
gemma-1.1-2b-it,0.1192569946127938
gemma-1.1-7b-it,0.17829538783454577
openchat_3.5,0.31728768684620146
claude-3-haiku-20240307,0.8695497396191023
Qwen1.5-0.5B-Chat,0.17346913937547453
