model,latency
gpt-4o-2024-08-06,0.8286696862643071
Phi-3-vision-128k-instruct,1.1679793685649182
gpt-4o-mini-2024-07-18,0.68472864702381
idefics-80b-instruct,9.90920357306122
gemini-1.5-flash-latest,13.396903850443582
gpt-4o-2024-05-13,1.0694715724240917
gemma-3-27b-it,3.703643337703195
InternVL2-26B,1.0386292812723383
idefics-9b-instruct,1.4799789114093944
InternVL2-Llama3-76B,3.1140705348391977
Idefics3-8B-Llama3,0.5553913162090334
claude-3-5-sonnet-20240620,2.1419643781420774
Pixtral-12B-2409,0.37757008482142806
internlm-xcomposer2d5-7b,6.095479326235735
Phi-3.5-vision-instruct,0.9667233222621195
InternVL2-8B,0.5617990863945571
claude-3-opus-20240229,2.69977237690141
gpt-4-1106-vision-preview,1.9390430972762704
InternVL2-40B,1.5607129299048947
