model,latency
Qwen2-7B-Instruct,0.35894072179487707
Yi-1.5-34B-Chat,9.23255196288927
aya-23-8B,0.4818848185613332
claude-3-sonnet-20240229,1.4194860128225932
gpt-4o-2024-08-06,0.5169587531894017
Mistral-7B-Instruct-v0.1,0.2828647550771767
Meta-Llama-3-8B-Instruct-hf,2.1164475432568053
Qwen1.5-72B-Chat,12.689668927658197
claude-2.1,1.6836316221022485
gpt-4-turbo-2024-04-09,0.9930876319528367
codegemma-7b-it,0.30489740508652213
Qwen2-72B-Instruct,0.9480584860151351
gemma-2-27b-it,0.9922771009345767
Yi-1.5-6B-Chat,6.496741103848877
gpt-4o-mini-2024-07-18,0.5342684150088983
Mixtral-8x7B-Instruct-v0.1,0.9392967660636321
Mistral-Large-Instruct-2407,1.2444667688634188
Qwen1.5-1.8B-Chat,0.5502705450000093
Mistral-7B-Instruct-v0.2,0.7635151196709039
vicuna-13b-v1.5,1.4753938719676467
mistral-large-2402,0.3967416598893956
gpt-4-1106-preview,0.7767265743542731
aya-23-35B,0.5755088395104259
command-r,0.18832414914586093
gpt-4-0613,0.6484411465828785
Qwen1.5-32B-Chat,0.5092292557397896
gemini-1.5-flash-latest,37.20426721004874
CodeLlama-34b-Instruct-hf,3.8518873154259348
Yi-34B-Chat,1.28716762071354
Meta-Llama-3-70B-Instruct-hf,3.3482561586622337
command-r-plus,0.3104016019283752
Meta-Llama-3.1-405B-Instruct-Turbo,0.7886103946545803
o1-preview-2024-09-12,7.368572853601862
Yi-1.5-9B-Chat,8.02352422018852
WizardLM-70b-v1.0,3.9249772038834783
gpt-4o-2024-05-13,0.5570990732389709
gemini-1.0-pro,0.6346876567117765
gpt-4-0125-preview,1.0418927523113641
Nous-Hermes-2-Mixtral-8x7B-SFT,0.8608922633033895
Mixtral-8x22B-Instruct-v0.1,1.07593545635739
gpt-3.5-turbo-0125,0.6829601016193739
mistral-medium-2312,3.3167870515212154
sheep-duck-llama-2-70b-v1.1,5.5246079143468965
claude-3-5-sonnet-20240620,0.8799292818885415
gemma-2-2b-it,0.31398215179198563
sheep-duck-llama-2-13b,2.9462099794520427
gemma-7b-it,0.6112263564356529
WizardLM-13b-v1.2,3.565436762576313
openchat-3.5-0106,0.2920951450556624
Phi-3-mini-128k-instruct,0.6615315832127385
Llama-3.1-Nemotron-70B-Instruct-HF,1.10540681385994
Meta-Llama-3.1-8B-Instruct,0.20630574840607935
gemma-2-9b-it,0.3692553324432527
Meta-Llama-3.1-70B-Instruct,0.8105055275945292
claude-3-opus-20240229,2.9558458279177846
Qwen1.5-14B-Chat,0.37289333481153564
SUS-Chat-34B,2.279514761069099
vicuna-33b-v1.3,0.8235025152162263
openchat-3.5-1210,0.2804982769102978
tulu-2-dpo-70b,7.848597339328539
llama-2-70b-chat-hf,4.724659620079609
Qwen1.5-7B-Chat,0.38989076908838866
gemma-1.1-2b-it,0.1192569946127938
dolphin-2.5-mixtral-8x7b,1.1007298473122396
gemma-1.1-7b-it,0.17829538783454577
openchat_3.5,0.31728768684620146
claude-3-haiku-20240307,0.8695497396191023
salamandra-7b-instruct,0.38948311935484037
Starling-LM-7B-beta,1.3650022970296924
Qwen2.5-Coder-32B-Instruct,0.8337066960552918
Qwen1.5-0.5B-Chat,0.17346913937547453
gemini-1.5-pro-latest,82.90283880578019
