model,latency
OLMo-2-1124-7B-Instruct,0.6116522945904604
deepseek-v3-0324,5.217238127330912
gpt-4o-2024-08-06,0.9133407796017841
Qwen2-72B-Instruct,3.1755441917275755
OLMo-2-0425-1B-Instruct,0.6838775328947377
Qwen2.5-Coder-7B-Instruct,0.570654390971517
QwQ-32B,6.435728384464109
o3-mini-2025-01-31,7.792291090305888
OLMo-2-0325-32B-Instruct,2.6902237962453555
deepseek-v3,4.444570954978051
Meta-Llama-3.1-405B-Instruct-Turbo,2.2480006984852445
claude-3-7-sonnet-20250219,5.261459095398035
gemma-3-27b-it,15.13043396772459
claude-3-5-sonnet-20241022,1.4753575820123526
gemini-2.0-flash-exp,11.00817819738284
aya-expanse-32b,1.1478015451650774
llama-4-scout,0.8308962191550665
Mistral-Small-24B-Instruct-2501,0.9855763792094984
gpt-4.1-2025-04-14,0.703280855652172
Qwen2.5-72B-Instruct,2.1855672129848367
mistral-large-2411,0.8266228007397152
QwQ-32B-Preview,4.93318243193917
phi-4,1.6223152944828851
Meta-Llama-3.1-8B-Instruct,0.6068067105998544
gemma-2-9b-it,1.42706391870215
OLMo-2-1124-13B-Instruct,1.4513794491609104
Meta-Llama-3.1-70B-Instruct,1.7009082384111107
Qwen2.5-7B-Instruct,0.6249819116495603
Llama-3.3-70B-Instruct,2.205538530823031
llama-4-maverick,0.9095568529039276
deepseek-r1,81.72311320692704
qwen-max,7.292370293977666
Qwen2.5-Coder-32B-Instruct,1.2288386659681192
